Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Michelle Wu,Michelle Wu Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 8, PRECINCT 5",84,23.53,270,75.63,357,3,0.84,0805
"WARD 8, PRECINCT 6",62,38.27,99,61.11,162,1,0.62,0806
"WARD 8, PRECINCT 7",74,26.33,203,72.24,281,4,1.42,0807
"WARD 9, PRECINCT 1",163,26.55,450,73.29,614,1,0.16,0901
"WARD 9, PRECINCT 2",210,26.52,581,73.36,792,1,0.13,0902
"WARD 9, PRECINCT 3",164,22.19,573,77.54,739,2,0.27,0903
"WARD 9, PRECINCT 4",92,21.50,331,77.34,428,5,1.17,0904
"WARD 9, PRECINCT 5",144,20.20,568,79.66,713,1,0.14,0905
"WARD 10, PRECINCT 1",92,28.13,234,71.56,327,1,0.31,1001
"WARD 10, PRECINCT 2",58,25.00,173,74.57,232,1,0.43,1002
"WARD 10, PRECINCT 3",62,28.84,153,71.16,215,0,0.00,1003
"WARD 10, PRECINCT 4",108,23.03,361,76.97,469,0,0.00,1004
"WARD 10, PRECINCT 5",62,19.44,257,80.56,319,0,0.00,1005
"WARD 10, PRECINCT 6",84,20.44,324,78.83,411,3,0.73,1006
"WARD 10, PRECINCT 7",88,18.00,401,82.00,489,0,0.00,1007
"WARD 10, PRECINCT 8",115,15.56,623,84.30,739,1,0.14,1008
"WARD 10, PRECINCT 9",132,14.95,748,84.71,883,3,0.34,1009
"WARD 11, PRECINCT 1",65,19.76,261,79.33,329,3,0.91,1101
"WARD 11, PRECINCT 2",89,20.32,348,79.45,438,1,0.23,1102
"WARD 11, PRECINCT 3",66,20.25,260,79.75,326,0,0.00,1103
"WARD 11, PRECINCT 4",101,16.45,511,83.22,614,2,0.33,1104
"WARD 11, PRECINCT 5",90,15.90,475,83.92,566,1,0.18,1105
"WARD 11, PRECINCT 6",71,12.89,477,86.57,551,3,0.54,1106
"WARD 11, PRECINCT 7",91,12.10,660,87.77,752,1,0.13,1107
"WARD 11, PRECINCT 8",114,11.55,871,88.25,987,2,0.20,1108
"WARD 11, PRECINCT 9",60,11.13,478,88.68,539,1,0.19,1109
"WARD 11, PRECINCT 10",72,11.48,554,88.36,627,1,0.16,1110
"WARD 12, PRECINCT 1",124,24.80,375,75.00,500,1,0.20,1201
"WARD 12, PRECINCT 2",127,22.24,437,76.53,571,7,1.23,1202
"WARD 12, PRECINCT 3",60,20.76,221,76.47,289,8,2.77,1203
"WARD 12, PRECINCT 4",83,24.85,242,72.46,334,9,2.69,1204
"WARD 12, PRECINCT 5",66,27.73,171,71.85,238,1,0.42,1205
"WARD 12, PRECINCT 6",80,25.56,232,74.12,313,1,0.32,1206
"WARD 12, PRECINCT 7",136,23.99,426,75.13,567,5,0.88,1207
"WARD 12, PRECINCT 8",52,24.53,157,74.06,212,3,1.42,1208
"WARD 12, PRECINCT 9",52,17.57,241,81.42,296,3,1.01,1209
"WARD 13, PRECINCT 1",100,28.09,250,70.22,356,6,1.69,1301
"WARD 13, PRECINCT 2",23,17.29,109,81.95,133,1,0.75,1302
"WARD 13, PRECINCT 3",76,23.97,241,76.03,317,0,0.00,1303
"WARD 13, PRECINCT 4",75,27.78,195,72.22,270,0,0.00,1304
"WARD 13, PRECINCT 5",77,25.25,227,74.43,305,1,0.33,1305
"WARD 13, PRECINCT 6",142,32.64,289,66.44,435,4,0.92,1306
"WARD 13, PRECINCT 7",242,46.63,277,53.37,519,0,0.00,1307
"WARD 13, PRECINCT 8",177,42.45,240,57.55,417,0,0.00,1308
"WARD 13, PRECINCT 9",192,38.10,311,61.71,504,1,0.20,1309
