Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 16, PRECINCT 10",343,68.6,0,0,37,7.4,24,4.8,75,15,0,0,9,1.8,11,2.2,500,1,0.2,1610
"WARD 16, PRECINCT 11",331,55.63,1,0.17,90,15.13,61,10.25,92,15.46,0,0,1,0.17,19,3.19,595,0,0,1611
"WARD 16, PRECINCT 12",598,79.84,2,0.27,39,5.21,39,5.21,51,6.81,1,0.13,3,0.4,15,2,749,1,0.13,1612
"WARD 17, PRECINCT 1",9,3.47,1,0.39,65,25.1,125,48.26,38,14.67,1,0.39,0,0,20,7.72,259,0,0,1701
"WARD 17, PRECINCT 2",13,6.34,0,0,66,32.2,76,37.07,29,14.15,0,0,1,0.49,20,9.76,205,0,0,1702
"WARD 17, PRECINCT 3",35,7,0,0,168,33.6,189,37.8,82,16.4,2,0.4,2,0.4,21,4.2,500,1,0.2,1703
"WARD 17, PRECINCT 4",81,13.04,1,0.16,170,27.38,203,32.69,132,21.26,1,0.16,2,0.32,31,4.99,621,0,0,1704
"WARD 17, PRECINCT 5",15,8.06,0,0,52,27.96,95,51.08,23,12.37,0,0,0,0,1,0.54,186,0,0,1705
"WARD 17, PRECINCT 6",48,12.37,0,0,142,36.6,100,25.77,80,20.62,1,0.26,1,0.26,16,4.12,388,0,0,1706
"WARD 17, PRECINCT 7",10,5.71,0,0,59,33.71,79,45.14,21,12,0,0,0,0,6,3.43,175,0,0,1707
"WARD 17, PRECINCT 8",23,7.47,0,0,114,37.01,120,38.96,47,15.26,0,0,0,0,4,1.3,308,0,0,1708
"WARD 17, PRECINCT 9",25,6.38,0,0,205,52.3,80,20.41,71,18.11,1,0.26,1,0.26,9,2.3,392,0,0,1709
"WARD 17, PRECINCT 10",14,3.98,0,0,120,34.09,161,45.74,44,12.5,0,0,2,0.57,10,2.84,352,1,0.28,1710
"WARD 17, PRECINCT 11",15,8.11,1,0.54,71,38.38,53,28.65,31,16.76,0,0,2,1.08,12,6.49,185,0,0,1711
