Precinct,Annissa Essaibi George,Richard Spagnuolo,Andrea Campbell,Kim Janey,Michelle Wu,Jon Santiago,Robert Cappucci,John Barros,Total Votes,Unresolved Write-In
"WARD 18, PRECINCT 12",105,0,85,132,157,0,6,7,492,0
"WARD 18, PRECINCT 13",43,0,46,83,66,2,0,5,245,0
"WARD 18, PRECINCT 14",35,0,63,105,56,1,1,4,265,0
"WARD 18, PRECINCT 15",38,0,105,195,95,1,1,12,448,1
"WARD 18, PRECINCT 16",291,0,114,110,185,0,17,13,730,0
"WARD 18, PRECINCT 17",142,2,65,144,105,4,1,17,480,0
"WARD 18, PRECINCT 18",132,3,61,187,142,4,14,10,553,0
"WARD 18, PRECINCT 19",206,1,124,223,186,2,6,19,767,0
"WARD 18, PRECINCT 20",373,0,61,120,171,1,9,4,740,1
"WARD 18, PRECINCT 21",15,0,133,333,85,3,1,6,576,0
"WARD 18, PRECINCT 22",278,0,116,98,232,5,2,10,741,0
"WARD 18, PRECINCT 23",22,0,33,125,77,2,1,5,265,0
"WARD 19, PRECINCT 1",24,0,159,86,273,0,2,5,549,0
"WARD 19, PRECINCT 2",136,1,215,93,277,2,7,27,759,1
"WARD 19, PRECINCT 3",25,1,145,55,245,0,2,18,491,0
"WARD 19, PRECINCT 4",35,1,205,87,319,0,0,8,656,1
"WARD 19, PRECINCT 5",43,0,165,69,277,2,0,8,564,0
"WARD 19, PRECINCT 6",52,1,256,75,380,1,0,15,780,0
"WARD 19, PRECINCT 7",45,0,192,93,315,0,2,14,661,0
"WARD 19, PRECINCT 8",33,0,152,36,188,1,2,8,420,0
"WARD 19, PRECINCT 9",17,0,124,40,191,0,1,6,379,0
"WARD 19, PRECINCT 10",89,2,135,105,361,2,5,14,713,0
"WARD 19, PRECINCT 11",31,0,58,109,180,0,2,5,385,0
"WARD 19, PRECINCT 12",63,1,196,62,208,2,5,5,542,0
"WARD 19, PRECINCT 13",46,1,60,74,138,2,2,7,330,0
"WARD 20, PRECINCT 1",168,0,123,52,271,1,7,11,633,0
"WARD 20, PRECINCT 2",144,1,137,52,325,0,1,13,673,0
"WARD 20, PRECINCT 3",236,1,51,69,183,1,21,4,567,1
"WARD 20, PRECINCT 4",63,0,166,50,321,1,4,8,613,0
"WARD 20, PRECINCT 5",367,8,75,53,216,0,14,16,751,2
"WARD 20, PRECINCT 6",315,0,146,56,315,2,16,16,868,2
"WARD 20, PRECINCT 7",185,2,115,26,188,0,14,7,537,0
"WARD 20, PRECINCT 8",126,0,102,28,220,0,9,5,490,0
"WARD 20, PRECINCT 9",167,0,85,41,264,0,8,10,576,1
"WARD 20, PRECINCT 10",409,0,125,57,249,1,9,8,859,1
"WARD 20, PRECINCT 11",170,0,69,20,170,3,8,13,453,0
"WARD 20, PRECINCT 12",264,0,101,37,155,2,8,15,583,1
"WARD 20, PRECINCT 13",246,0,59,34,161,0,6,7,513,0
"WARD 20, PRECINCT 14",293,0,66,18,143,1,17,16,554,0
"WARD 20, PRECINCT 15",324,0,53,46,205,1,14,19,662,0
"WARD 20, PRECINCT 16",401,1,70,62,213,2,15,18,783,1
"WARD 20, PRECINCT 17",458,0,136,42,256,1,15,24,932,0
"WARD 20, PRECINCT 18",192,0,94,36,147,2,6,7,485,1
"WARD 20, PRECINCT 19",267,1,80,11,125,0,4,15,503,0
"WARD 20, PRECINCT 20",280,0,94,55,244,3,17,23,716,0
"WARD 21, PRECINCT 1",39,2,59,25,150,1,1,9,286,0
"WARD 21, PRECINCT 2",4,0,12,2,25,1,0,2,46,0
"WARD 21, PRECINCT 3",12,0,26,15,92,1,0,6,152,0
"WARD 21, PRECINCT 4",12,0,23,11,83,0,0,1,130,0
"WARD 21, PRECINCT 5",11,0,46,21,146,0,1,10,235,0
"WARD 21, PRECINCT 6",33,1,47,25,145,1,4,8,264,0
"WARD 21, PRECINCT 7",27,1,54,31,146,3,3,5,270,0
"WARD 21, PRECINCT 8",12,2,61,31,171,0,3,4,284,0
"WARD 21, PRECINCT 9",37,1,65,39,158,0,3,6,309,0
"WARD 21, PRECINCT 10",18,2,32,47,130,0,4,7,240,0
"WARD 21, PRECINCT 11",25,0,54,29,178,1,5,7,300,1
"WARD 21, PRECINCT 12",43,1,67,75,107,0,14,5,312,0
"WARD 21, PRECINCT 13",67,2,58,154,229,2,10,7,529,0
"WARD 21, PRECINCT 14",16,0,38,16,93,0,2,6,171,0
"WARD 21, PRECINCT 15",13,2,38,17,150,1,1,1,223,0
"WARD 21, PRECINCT 16",46,0,93,49,189,2,6,13,398,0
"WARD 22, PRECINCT 1",71,1,64,37,187,0,6,8,374,0
"WARD 22, PRECINCT 2",65,0,64,46,277,1,10,9,472,0
"WARD 22, PRECINCT 3",91,0,69,40,208,0,6,5,419,0
"WARD 22, PRECINCT 4",56,3,58,33,190,1,8,9,359,1
"WARD 22, PRECINCT 5",36,1,38,20,108,0,8,2,213,0
"WARD 22, PRECINCT 6",48,1,47,20,110,2,3,8,239,0
"WARD 22, PRECINCT 7",75,0,70,28,204,2,8,6,393,0
"WARD 22, PRECINCT 8",63,0,34,23,161,0,8,10,299,0
"WARD 22, PRECINCT 9",58,1,49,30,146,1,9,4,298,0
"WARD 22, PRECINCT 10",74,1,55,45,207,1,5,13,402,1
"WARD 22, PRECINCT 11",77,0,37,17,135,0,4,3,273,0
"WARD 22, PRECINCT 12",112,0,39,30,126,0,6,4,317,0
"WARD 22, PRECINCT 13",61,0,33,19,109,0,6,6,235,1
BOSTON - Total,"24,186",282,"21,221","20,946","35,888",364,"1,175","3,436","107,592",94
Cumulative,,,,,,,,,,
Cumulative,0,0,0,0,0,0,0,0,0,0
Cumulative - Total,0,0,0,0,0,0,0,0,0,0
CITY WIDE - Total,"24,186",282,"21,221","20,946","35,888",364,"1,175","3,436","107,592",94
